Problem name,Solver,mem=,Runtime(ns),Memory used(bytes),Number of steps to solve(iterations),Number of vector-matrix opeartions
AMPGO05,lbfgs,27,90958.0,131928.0,1,4580
AMPGO05,lbfgs,28,86459.0,133848.0,1,4594
AMPGO05,lbfgs,29,89209.0,135704.0,1,4608
AMPGO05,lbfgs,30,87209.0,137672.0,1,4622
AMPGO05,lbfgs,31,89917.0,139528.0,1,4636
AMPGO05,lbfgs,32,86500.0,141448.0,1,4650
AMPGO05,lbfgs,33,87625.0,143336.0,1,4664
AMPGO05,lbfgs,34,88667.0,145256.0,1,4678
AMPGO05,lbfgs,35,87250.0,147160.0,1,4692
AMPGO05,lbfgs,36,88125.0,149144.0,1,4706
AMPGO05,lbfgs,37,88875.0,151000.0,1,4720
AMPGO05,lbfgs,38,87917.0,152904.0,1,4734
AMPGO05,lbfgs,39,95625.0,154760.0,1,4748
AMPGO05,lbfgs,40,90917.0,156744.0,1,4762
AMPGO05,lbfgs,41,88958.0,191432.0,1,4776
AMPGO05,lbfgs,42,94334.0,193288.0,1,4790
AMPGO05,lbfgs,43,88792.0,195144.0,1,4804
AMPGO05,lbfgs,44,89792.0,197128.0,1,4818
AMPGO05,lbfgs,45,92334.0,199064.0,1,4832
AMPGO05,lbfgs,46,92834.0,200920.0,1,4846
AMPGO05,lbfgs,47,91375.0,202776.0,1,4860
AMPGO05,lbfgs,48,94250.0,204824.0,1,4874
AMPGO05,lbfgs,49,92959.0,206680.0,1,4888
AMPGO05,lbfgs,50,93750.0,208616.0,1,4902
AMPGO05,lbfgs,51,95375.0,210472.0,1,4916
AMPGO05,lbfgs,52,95292.0,212328.0,1,4930
AMPGO05,lbfgs,53,96167.0,214184.0,1,4944
AMPGO05,lbfgs,54,100042.0,216232.0,1,4958
AMPGO05,lbfgs,55,94833.0,218200.0,1,4972
AMPGO05,lbfgs,56,96875.0,220056.0,1,4986
AMPGO05,lbfgs,57,99916.0,221912.0,1,5000
AMPGO05,lbfgs,58,95250.0,223768.0,1,5014
AMPGO05,lbfgs,59,94541.0,225624.0,1,5028
AMPGO05,lbfgs,60,98042.0,227672.0,1,5042
AMPGO05,lbfgs,61,93834.0,229528.0,1,5056
AMPGO05,lbfgs,62,95333.0,264232.0,1,5070
AMPGO05,lbfgs,63,95666.0,266088.0,1,5084
AMPGO05,lbfgs,64,97708.0,267944.0,1,5098
AMPGO05,lbfgs,65,95583.0,269800.0,1,5112
AMPGO05,lbfgs,66,96000.0,271784.0,1,5126
AMPGO05,lbfgs,67,103250.0,273720.0,1,5140
AMPGO05,lbfgs,68,99417.0,275576.0,1,5154
AMPGO05,lbfgs,69,96500.0,277432.0,1,5168
AMPGO05,lbfgs,70,100167.0,279480.0,1,5182
AMPGO05,lbfgs,71,97959.0,281336.0,1,5196
AMPGO05,lbfgs,72,104667.0,283272.0,1,5210
AMPGO05,lbfgs,73,97416.0,285128.0,1,5224
AMPGO05,lbfgs,74,97916.0,286984.0,1,5238
AMPGO05,lbfgs,75,99417.0,288840.0,1,5252
AMPGO05,lbfgs,76,99875.0,290888.0,1,5266
AMPGO05,lbfgs,77,100625.0,292856.0,1,5280
AMPGO05,lbfgs,78,103250.0,294712.0,1,5294
AMPGO05,lbfgs,79,99208.0,296568.0,1,5308
AMPGO05,lbfgs,80,100416.0,298424.0,1,5322
AMPGO05,lbfgs,81,99875.0,300280.0,1,5336
AMPGO05,lbfgs,82,102583.0,335160.0,1,5350
AMPGO05,lbfgs,83,104042.0,337016.0,1,5364
AMPGO05,lbfgs,84,99375.0,339000.0,1,5378
AMPGO05,lbfgs,85,105750.0,340856.0,1,5392
AMPGO05,lbfgs,86,106084.0,342712.0,1,5406
AMPGO05,lbfgs,87,101667.0,344568.0,1,5420
AMPGO05,lbfgs,88,104333.0,346424.0,1,5434
AMPGO05,lbfgs,89,114292.0,348280.0,1,5448
AMPGO05,lbfgs,90,102542.0,350456.0,1,5462
AMPGO05,lbfgs,91,105750.0,352312.0,1,5476
AMPGO05,lbfgs,92,102209.0,354312.0,1,5490
AMPGO05,lbfgs,93,102625.0,356168.0,1,5504
AMPGO05,lbfgs,94,104041.0,358024.0,1,5518
AMPGO05,lbfgs,95,104459.0,359880.0,1,5532
AMPGO05,lbfgs,96,104750.0,361736.0,1,5546
AMPGO05,lbfgs,97,109042.0,363592.0,1,5560
AMPGO05,lbfgs,98,110125.0,365448.0,1,5574
AMPGO05,lbfgs,99,109166.0,367304.0,1,5588
AMPGO05,lbfgs,100,105584.0,369480.0,1,5602
AMPGO06,lbfgs,1,77292.0,18456.0,1,5616
AMPGO06,lbfgs,2,81167.0,22376.0,1,5630
AMPGO06,lbfgs,3,86167.0,25784.0,1,5644
AMPGO06,lbfgs,4,82042.0,29256.0,1,5658
AMPGO06,lbfgs,5,81375.0,32664.0,1,5672
AMPGO06,lbfgs,6,82041.0,36136.0,1,5686
AMPGO06,lbfgs,7,90750.0,39544.0,1,5700
AMPGO06,lbfgs,8,82000.0,43016.0,1,5714
AMPGO06,lbfgs,9,81375.0,46936.0,1,5728
AMPGO06,lbfgs,10,81250.0,50408.0,1,5742
AMPGO06,lbfgs,11,90500.0,53816.0,1,5756
AMPGO06,lbfgs,12,83792.0,57288.0,1,5770
AMPGO06,lbfgs,13,83250.0,60696.0,1,5784
AMPGO06,lbfgs,14,83042.0,64168.0,1,5798
AMPGO06,lbfgs,15,82583.0,67576.0,1,5812
AMPGO06,lbfgs,16,88959.0,71048.0,1,5826
AMPGO06,lbfgs,17,85000.0,74968.0,1,5840
AMPGO06,lbfgs,18,84291.0,78456.0,1,5854
AMPGO06,lbfgs,19,95083.0,81848.0,1,5868
AMPGO06,lbfgs,20,91000.0,85336.0,1,5882
AMPGO06,lbfgs,21,88250.0,120472.0,1,5896
AMPGO06,lbfgs,22,84666.0,122424.0,1,5910
AMPGO06,lbfgs,23,86166.0,124280.0,1,5924
AMPGO06,lbfgs,24,84125.0,126248.0,1,5938
AMPGO06,lbfgs,25,85750.0,128104.0,1,5952
AMPGO06,lbfgs,26,84291.0,130024.0,1,5966
AMPGO06,lbfgs,27,87042.0,131928.0,1,5980
AMPGO06,lbfgs,28,87834.0,133848.0,1,5994
AMPGO06,lbfgs,29,88458.0,135704.0,1,6008
AMPGO06,lbfgs,30,88416.0,137672.0,1,6022
AMPGO06,lbfgs,31,88541.0,139528.0,1,6036
AMPGO06,lbfgs,32,87334.0,141448.0,1,6050
AMPGO06,lbfgs,33,86167.0,143336.0,1,6064
AMPGO06,lbfgs,34,87750.0,145256.0,1,6078
AMPGO06,lbfgs,35,88000.0,147160.0,1,6092
AMPGO06,lbfgs,36,90750.0,149144.0,1,6106
AMPGO06,lbfgs,37,87500.0,151000.0,1,6120
AMPGO06,lbfgs,38,89917.0,152904.0,1,6134
AMPGO06,lbfgs,39,91166.0,154760.0,1,6148
AMPGO06,lbfgs,40,91625.0,156744.0,1,6162
AMPGO06,lbfgs,41,92042.0,191432.0,1,6176
AMPGO06,lbfgs,42,94833.0,193288.0,1,6190
AMPGO06,lbfgs,43,97083.0,195144.0,1,6204
AMPGO06,lbfgs,44,90791.0,197128.0,1,6218
AMPGO06,lbfgs,45,93541.0,199064.0,1,6232
AMPGO06,lbfgs,46,90917.0,200920.0,1,6246
AMPGO06,lbfgs,47,94042.0,202776.0,1,6260
AMPGO06,lbfgs,48,94125.0,204824.0,1,6274
AMPGO06,lbfgs,49,91875.0,206680.0,1,6288
AMPGO06,lbfgs,50,92000.0,208616.0,1,6302
AMPGO06,lbfgs,51,94541.0,210472.0,1,6316
AMPGO06,lbfgs,52,92250.0,212328.0,1,6330
AMPGO06,lbfgs,53,96083.0,214184.0,1,6344
AMPGO06,lbfgs,54,96292.0,216232.0,1,6358
AMPGO06,lbfgs,55,94375.0,218200.0,1,6372
AMPGO06,lbfgs,56,94750.0,220056.0,1,6386
AMPGO06,lbfgs,57,92000.0,221912.0,1,6400
AMPGO06,lbfgs,58,97292.0,223768.0,1,6414
AMPGO06,lbfgs,59,94334.0,225624.0,1,6428
AMPGO06,lbfgs,60,93625.0,227672.0,1,6442
AMPGO06,lbfgs,61,94833.0,229528.0,1,6456
