status,name,solver,nvar,time,memory,num_iter,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc,is_init_run
first_order,dixmaano,LBFGSSolver,99,0.153965877,3.674528,18,40,3.4215e-5,0.000592,3,18,0.000246382,0.00144,5,true
first_order,dixmaano,LBFGSSolver,99,0.154215215,3.674528,18,40,2.129e-5,0.000592,3,18,0.000237996,0.00144,5,false
first_order,dixmaanp,LBFGSSolver,99,0.132444883,3.151808,17,39,2.3235e-5,0.000592,3,17,0.000232846,0.00144,5,true
first_order,dixmaanp,LBFGSSolver,99,0.13389172400000002,3.151808,17,39,2.7774e-5,0.000592,3,17,0.000267182,0.00144,5,false
first_order,dixon3dq,LBFGSSolver,100,0.674947832,31.991544,9,11,0.056695647,8.969384,174206,11,0.211047915,13.908768,276481,true
first_order,dixon3dq,LBFGSSolver,100,0.326164713,3.111936,9,11,3.397e-6,0.000592,3,11,1.6652e-5,0.00152,5,false
first_order,dqdrtic,LBFGSSolver,100,0.607108991,26.202512,4,6,0.050972483,4.535384,89319,6,0.212977581,13.464088,265664,true
first_order,dqdrtic,LBFGSSolver,100,0.27775567,0.119776,4,6,3.296e-6,0.000592,3,6,2.8796e-5,0.00152,5,false
first_order,dqrtic,LBFGSSolver,100,0.602742967,29.821832,16,18,0.044471249,8.3056,156078,18,0.205064413,13.931352,272909,true
first_order,dqrtic,LBFGSSolver,100,0.278528271,0.5956,16,18,7.425e-6,0.000592,3,18,3.0919e-5,0.00152,5,false
first_order,edensch,LBFGSSolver,100,0.702295981,37.964736,8,10,0.049088013,4.95412,97223,10,0.245622044,15.782256,312060,true
first_order,edensch,LBFGSSolver,100,0.305300845,0.371648,8,10,1.526e-5,0.000592,3,10,6.5756e-5,0.00152,5,false
first_order,eg2,LBFGSSolver,100,0.621274967,26.411424,3,5,0.054212199,4.443696,87187,5,0.213931308,13.401576,265355,true
first_order,eg2,LBFGSSolver,100,0.284688611,0.07128,3,5,7.524e-6,0.000592,3,5,5.1268e-5,0.00152,5,false
first_order,engval1,LBFGSSolver,100,0.62201787,28.056328,9,11,0.050769835,4.537536,89415,11,0.228566914,13.718168,270824,true
first_order,engval1,LBFGSSolver,100,0.29620549199999996,0.362256,9,11,2.444e-6,0.000592,3,11,3.2762e-5,0.00152,5,false
first_order,enso,LBFGSSolver,9,1.073938954,39.618608,18,40,0.087967842,8.381608,166022,18,0.363093654,22.384752,458421,true
first_order,enso,LBFGSSolver,9,0.538341871,0.492336,18,40,3.0118e-5,0.000592,3,18,4.6199e-5,0.00072,5,false
first_order,errinros_mod,LBFGSSolver,100,0.89751345,47.041848,72,112,0.088648806,12.12216,235134,72,0.288428676,18.534912,368644,true
