status,name,solver,mem,nvar,time(ns),memory(MB),nvmops,neval_obj,neval_grad
first_order,arglina,LBFGSSolver,96,100,154105.0,351872.0,1,73596,73596
first_order,arglina,LBFGSSolver,97,100,154415.0,355328.0,1,73134,73134
first_order,arglina,LBFGSSolver,98,100,155057.0,358784.0,1,73134,73134
first_order,arglina,LBFGSSolver,99,100,155006.0,362240.0,1,72674,72674
first_order,arglina,LBFGSSolver,100,100,155397.0,366016.0,1,72674,72674
first_order,arglinb,LBFGSSolver,1,100,215532.0,20424.0,2,900396,128628
first_order,arglinb,LBFGSSolver,2,100,216123.0,23968.0,2,894516,127788
first_order,arglinb,LBFGSSolver,3,100,216243.0,27440.0,2,888664,126952
first_order,arglinb,LBFGSSolver,4,100,217215.0,30976.0,2,882840,126120
first_order,arglinb,LBFGSSolver,5,100,219118.0,34448.0,2,877044,125292
first_order,arglinb,LBFGSSolver,6,100,218188.0,37984.0,2,871276,124468
first_order,arglinb,LBFGSSolver,7,100,221243.0,41456.0,2,871276,124468
first_order,arglinb,LBFGSSolver,8,100,218979.0,44992.0,2,871276,124468
first_order,arglinb,LBFGSSolver,9,100,219730.0,48464.0,2,871276,124468
first_order,arglinb,LBFGSSolver,10,100,219129.0,52000.0,2,871276,124468
first_order,arglinb,LBFGSSolver,11,100,219119.0,55472.0,2,871276,124468
first_order,arglinb,LBFGSSolver,12,100,219780.0,59008.0,2,865536,123648
first_order,arglinb,LBFGSSolver,13,100,219810.0,62480.0,2,865536,123648
first_order,arglinb,LBFGSSolver,14,100,220361.0,66016.0,2,865536,123648
first_order,arglinb,LBFGSSolver,15,100,220893.0,69488.0,2,859824,122832
first_order,arglinb,LBFGSSolver,16,100,221203.0,73024.0,2,859824,122832
first_order,arglinb,LBFGSSolver,17,100,221223.0,76496.0,2,859824,122832
first_order,arglinb,LBFGSSolver,18,100,221824.0,80048.0,2,859824,122832
first_order,arglinb,LBFGSSolver,19,100,222315.0,83504.0,2,854140,122020
first_order,arglinb,LBFGSSolver,20,100,222596.0,87056.0,2,854140,122020
first_order,arglinb,LBFGSSolver,21,100,222856.0,90512.0,2,854140,122020
first_order,arglinb,LBFGSSolver,22,100,223437.0,94064.0,2,848484,121212
first_order,arglinb,LBFGSSolver,23,100,223567.0,97520.0,2,848484,121212
first_order,arglinb,LBFGSSolver,24,100,224009.0,101088.0,2,848484,121212
first_order,arglinb,LBFGSSolver,25,100,224189.0,104544.0,2,848484,121212
first_order,arglinb,LBFGSSolver,26,100,224540.0,108064.0,2,848484,121212
first_order,arglinb,LBFGSSolver,27,100,225180.0,111568.0,2,842856,120408
first_order,arglinb,LBFGSSolver,28,100,225491.0,115088.0,2,842856,120408
first_order,arglinb,LBFGSSolver,29,100,225822.0,118544.0,2,842856,120408
first_order,arglinb,LBFGSSolver,30,100,226363.0,122112.0,2,842856,120408
first_order,arglinb,LBFGSSolver,31,100,226303.0,125568.0,2,837256,119608
first_order,arglinb,LBFGSSolver,32,100,227114.0,129088.0,2,837256,119608
first_order,arglinb,LBFGSSolver,33,100,227425.0,132576.0,2,837256,119608
first_order,arglinb,LBFGSSolver,34,100,228107.0,136096.0,2,837256,119608
first_order,arglinb,LBFGSSolver,35,100,228086.0,139600.0,2,831684,118812
first_order,arglinb,LBFGSSolver,36,100,227886.0,143184.0,2,831684,118812
first_order,arglinb,LBFGSSolver,37,100,228818.0,146640.0,2,831684,118812
first_order,arglinb,LBFGSSolver,38,100,229178.0,150144.0,2,831684,118812
first_order,arglinb,LBFGSSolver,39,100,229680.0,153600.0,2,826140,118020
first_order,arglinb,LBFGSSolver,40,100,229960.0,157184.0,2,826140,118020
first_order,arglinb,LBFGSSolver,41,100,230340.0,160704.0,2,826140,118020
first_order,arglinb,LBFGSSolver,42,100,230911.0,164160.0,2,826140,118020
first_order,arglinb,LBFGSSolver,43,100,230841.0,167616.0,2,820624,117232
first_order,arglinb,LBFGSSolver,44,100,231513.0,171200.0,2,820624,117232
first_order,arglinb,LBFGSSolver,45,100,232044.0,174736.0,2,820624,117232
first_order,arglinb,LBFGSSolver,46,100,232425.0,178192.0,2,820624,117232
first_order,arglinb,LBFGSSolver,47,100,232614.0,181648.0,2,815136,116448
first_order,arglinb,LBFGSSolver,48,100,232995.0,185296.0,2,815136,116448
first_order,arglinb,LBFGSSolver,49,100,233397.0,188752.0,2,815136,116448
first_order,arglinb,LBFGSSolver,50,100,233646.0,192288.0,2,815136,116448
first_order,arglinb,LBFGSSolver,51,100,233617.0,195744.0,2,809676,115668
first_order,arglinb,LBFGSSolver,52,100,234689.0,199200.0,2,809676,115668
first_order,arglinb,LBFGSSolver,53,100,234909.0,202656.0,2,809676,115668
first_order,arglinb,LBFGSSolver,54,100,234728.0,206304.0,2,804244,114892
first_order,arglinb,LBFGSSolver,55,100,235470.0,209872.0,2,809676,115668
first_order,arglinb,LBFGSSolver,56,100,235159.0,213328.0,2,809676,115668
first_order,arglinb,LBFGSSolver,57,100,236372.0,216784.0,2,804244,114892
first_order,arglinb,LBFGSSolver,58,100,236632.0,220240.0,2,804244,114892
first_order,arglinb,LBFGSSolver,59,100,237114.0,223696.0,2,804244,114892
first_order,arglinb,LBFGSSolver,60,100,236913.0,227344.0,2,804244,114892
first_order,arglinb,LBFGSSolver,61,100,237284.0,230800.0,2,798840,114120
first_order,arglinb,LBFGSSolver,62,100,238215.0,234336.0,2,804244,114892
first_order,arglinb,LBFGSSolver,63,100,238526.0,237792.0,2,798840,114120
first_order,arglinb,LBFGSSolver,64,100,238546.0,241248.0,2,798840,114120
first_order,arglinb,LBFGSSolver,65,100,238917.0,244704.0,2,798840,114120
first_order,arglinb,LBFGSSolver,66,100,238906.0,248288.0,2,793464,113352
first_order,arglinb,LBFGSSolver,67,100,239749.0,251824.0,2,793464,113352
first_order,arglinb,LBFGSSolver,68,100,240009.0,255280.0,2,793464,113352
first_order,arglinb,LBFGSSolver,69,100,240630.0,258736.0,2,788116,112588
first_order,arglinb,LBFGSSolver,70,100,241251.0,262384.0,2,788116,112588
first_order,arglinb,LBFGSSolver,71,100,241612.0,265840.0,2,788116,112588
first_order,arglinb,LBFGSSolver,72,100,242013.0,269376.0,2,788116,112588
first_order,arglinb,LBFGSSolver,73,100,242293.0,272832.0,2,788116,112588
first_order,arglinb,LBFGSSolver,74,100,242613.0,276288.0,2,782796,111828
first_order,arglinb,LBFGSSolver,75,100,243105.0,279744.0,2,782796,111828
first_order,arglinb,LBFGSSolver,76,100,243686.0,283392.0,2,777504,111072
first_order,arglinb,LBFGSSolver,77,100,243967.0,286960.0,2,777504,111072
first_order,arglinb,LBFGSSolver,78,100,246872.0,290416.0,2,777504,111072
first_order,arglinb,LBFGSSolver,79,100,246922.0,293872.0,2,777504,111072
